"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
pcl_c_feeling_emotionally_numb,pclc,,radio,"Feeling emotionally numb or being unable to have loving feelings for those close to you?","1, Not at all | 2, A little bit | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,y,,,pcl_c,,
pcl_c_feeling_asif_future_cut_off,pclc,,radio,"Feeling as if your future will somehow be cut short?","1, Not at all | 2, A little bit | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,y,,,pcl_c,,
pcl_c_trouble_faling_staying_asleep,pclc,,radio,"Trouble falling or staying asleep?","1, Not at all | 2, A little bit | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,y,,,pcl_c,,
pcl_c_feeling_irritable,pclc,,radio,"Feeling irritable or having angry outbursts?","1, Not at all | 2, A little bit | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,y,,,pcl_c,,
pcl_c_having_difficulty_concentrating,pclc,,radio,"Having difficulty concentrating?","1, Not at all | 2, A little bit | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,y,,,pcl_c,,
pcl_c_being_super_alert,pclc,,radio,"Being ""super-alert,"" watchful, or on guard?","1, Not at all | 2, A little bit | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,y,,,pcl_c,,
pcl_c_feeling_easily_startled,pclc,,radio,"Feeling jumpy or easily startled?","1, Not at all | 2, A little bit | 3, Moderately | 4, Quite a bit | 5, Extremely",,,,,,,y,,,pcl_c,,
audit_notes,alcohol_use_disorders_identification_test_audit,,descriptive,"Now I am going to ask you some questions about your use of alcoholic beverages during this past year. Interviewer: Explain what is meant by ""alcoholic beverages"" by using local examples of beer, wine, vodka, etc. Code answers in terms of ""standard drinks"".",,,,,,,,,,,,,
audit_drink_alcohol,alcohol_use_disorders_identification_test_audit,,radio,"How often do you have a drink containing alcohol?","0, Never | 1, Monthly or less | 2, 2 to 4 times a month | 3, 2 to 3 times a week | 4, 4 or more times a week",,,,,,,y,,,,,
audit_number_drinks,alcohol_use_disorders_identification_test_audit,,radio,"How many drinks containing alcohol do you have on a typical day when you are drinking?","0, 1 or 2 | 1, 3 or 4 | 2, 5 or 6 | 3, 7, 8, or 9 | 4, 10 or more",,,,,,[audit_drink_alcohol]!=0,y,,,,,
audit_how_often_six_or_more_drinks,alcohol_use_disorders_identification_test_audit,,radio,"How often do you have six or more drinks on one occasion?","0, Never | 1, Less than monthly | 2, Monthly | 3, Weekly | 4, Daily or almost daily",,,,,,[audit_drink_alcohol]!=0,y,,,,,
audit_not_able_to_stop_drinking,alcohol_use_disorders_identification_test_audit,,radio,"How often during the last year have you found that you were not able to stop drinking once you had started?","0, Never | 1, Less than monthly | 2, Monthly | 3, Weekly | 4, Daily or almost daily",,,,,,[audit_drink_alcohol]!=0,y,,,,,
audit_failed_to_do_normal_tasks,alcohol_use_disorders_identification_test_audit,,radio,"How often during the last year have you failed to do what was normally expected from you because of drinking?","0, Never | 1, Less than monthly | 2, Monthly | 3, Weekly | 4, Daily or almost daily",,,,,,[audit_drink_alcohol]!=0,y,,,,,
audit_had_hangover,alcohol_use_disorders_identification_test_audit,,radio,"How often during the last year have you needed a first drink in the morning to get yourself going after a heavy drinking session?","0, Never | 1, Less than monthly | 2, Monthly | 3, Weekly | 4, Daily or almost daily",,,,,,[audit_drink_alcohol]!=0,y,,,,,
audit_had_guilt_after_drinking,alcohol_use_disorders_identification_test_audit,,radio,"How often during the last year have you had a feeling of guilt or remorse after drinking?","0, Never | 1, Less than monthly | 2, Monthly | 3, Weekly | 4, Daily or almost daily",,,,,,[audit_drink_alcohol]!=0,y,,,,,
audit_blanked_out_after_drinking,alcohol_use_disorders_identification_test_audit,,radio,"How often during the last year have you been unable to remember what happened the night before because you had been drinking?","0, Never | 1, Less than monthly | 2, Monthly | 3, Weekly | 4, Daily or almost daily",,,,,,[audit_drink_alcohol]!=0,y,,,,,
audit_injured_drinking,alcohol_use_disorders_identification_test_audit,"Now I am going to ask you some questions related to your use of alcoholic beverages in the PAST or PRESENT. If you no longer use alcohol at all, please think back to your past use of alcohol and answer the next questions based on that.",radio,"Have you or someone else been injured as a result of your drinking?","0, No | 2, Yes, but not in the last year | 4, Yes, during the last year",,,,,,[audit_drink_alcohol]!=0,y,,,audit_drinking,,
audit_cut_down_drinking,alcohol_use_disorders_identification_test_audit,,radio,"Has a relative or friend or a doctor or another health worker been concerned about your drinking or suggested you cut down?","0, No | 2, Yes, but not in the last year | 4, Yes, during the last year",,,,,,[audit_drink_alcohol]!=0,y,,,audit_drinking,,
assist_notes,alcohol_smoking_and_substance_involvement_screenin,,descriptive,"The following questions ask about your experience of using alcohol, tobacco products, khat, and other drugs across your lifetime and in the past three months. If you have taken these substances, please let me know. Please be assured that your responses will be treated as strictly confidential. 
	 Definitions of terms that show frequency for questions 2-5
1.	Never- means that the substance has not been used at all in the last 3 months (i.e., score = 0).
2.	Once or twice- means that the substance has been used a total of 1 to 2 times in the last 3 months (i.e., score = 2).
3.	Monthly- means the substance has been used an average of 1 to 3 times per month in the last 3 months - resulting in a total of 3 to 9 times over the last 3 months (i.e., score = 3).
4.	Weekly- means the substance has been used an average of 1 to 4 times per week in the last 3 months (i.e., score = 4).
5.	Daily or almost daily-means the substance has been used an average of 5 to 7 days per week in the last three months (i.e., score= 6)
",,,,,,,,,,,,,
assist_everused_tobacco,alcohol_smoking_and_substance_involvement_screenin,Tobacco,yesno,"In your life, have you EVER used Tobacco products (shisha, cigarettes, chewing tobacco, cigars, etc.)",,,,,,,,y,,,,,
assist_howoften_pastthreemonth_tobacco,alcohol_smoking_and_substance_involvement_screenin,,radio,"In the PAST THREE MONTHS, how often have you used Tobacco products (shisha, cigarettes, chewing tobacco, cigars, etc.) ?","0, Never | 2, Once or twice | 3, Monthly | 4, Weekly | 6, Daily or almost daily",,,,,,[assist_everused_tobacco]=1,y,,,,,
assist_howoften_pastthreemonth_tobacco_desire,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often have you had a strong desire or urge to use Tobacco products (shisha, cigarettes, chewing tobacco, cigars, etc.) ?","0, Never | 3, Once or Twice | 4, Monthly | 5, Weekly | 6, Daily or almost daily",,,,,,[assist_howoften_pastthreemonth_tobacco]!=0,y,,,,,
assist_tobacco_ledto_problems,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often has your use of Tobacco led to health, social, legal or financial problems?","0, Never | 4, Once or Twice | 5, Monthly | 6, Weekly | 7, Daily or almost daily",,,,,,[assist_howoften_pastthreemonth_tobacco]!=0,y,,,,,
assist_led_to_problems_tobacco,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often have you failed to do what was normally expected of you because of your use of Tobacco Products (cigarettes, chewing tobacco,? ","0, Never | 5, Once or Twice | 6, Monthly | 7, Weekly | 8, Daily or almost daily",,,,,,[assist_howoften_pastthreemonth_tobacco]!=0,y,,,,,
assist_people_concerned_tobaccouse,alcohol_smoking_and_substance_involvement_screenin,,radio,"Has a friend or relative or anyone else EVER expressed concern about your use of Tobacco products?","0, No, never | 6, Yes, in the past three months | 3, Yes, but not in the past three months",,,,,,[assist_everused_tobacco]=1,y,,,,,
assist_cut_down_tobacco,alcohol_smoking_and_substance_involvement_screenin,,radio,"Have you EVER tried to cut down on using Tobacco but failed?","0, No, never | 6, Yes, in the past three months | 3, Yes, but not in the past three months",,,,,,[assist_everused_tobacco]=1,y,,,,,
assist_everused_khat,alcohol_smoking_and_substance_involvement_screenin,Khat,yesno,"In your life, have you EVER used Khat  ",,,,,,,,y,,,,,
assist_howoften_pastthreemonth_khat,alcohol_smoking_and_substance_involvement_screenin,,radio,"In the PAST THREE MONTHS, how often have you used Khat?","0, Never | 2, Once or twice | 3, Monthly | 4, Weekly | 6, Daily or almost daily",,,,,,[assist_everused_khat]=1,y,,,,,
assist_howoften_pastthreemonth_khat_desire,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often have you had a strong desire or urge to use khat?","0, Never | 3, Once or Twice | 4, Monthly | 5, Weekly | 6, Daily or almost daily",,,,,,[assist_howoften_pastthreemonth_khat]!=0,y,,,,,
assist_khat_ledto_problems,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often has your use of khat led to health, social, legal or financial problems?","0, Never | 4, Once or Twice | 5, Monthly | 6, Weekly | 7, Daily or almost daily",,,,,,[assist_howoften_pastthreemonth_khat]!=0,y,,,,,
assist_howoften_failed_normaltasks_khat,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often have you failed to do what was normally expected of you because of your use of khat?","0, Never | 5, Once or Twice | 6, Monthly | 7, Weekly | 8, Daily or almost daily",,,,,,[assist_howoften_pastthreemonth_khat]!=0,y,,,,,
assist_people_concerned_khat_use,alcohol_smoking_and_substance_involvement_screenin,,radio,"Has a friend or relative or anyone else EVER expressed concern about your use of khat?","0, No, never | 6, Yes, in the past three months | 3, Yes, but not in the past three months",,,,,,[assist_everused_khat]=1,y,,,,,
assist_cut_down_khat,alcohol_smoking_and_substance_involvement_screenin,,radio,"Have you EVER tried to cut down on using khat but failed?","0, No, never | 6, Yes, in the past three months | 3, Yes, but not in the past three months",,,,,,[assist_everused_khat]=1,y,,,,,
assist_everused_cannabis,alcohol_smoking_and_substance_involvement_screenin,Cannabis,yesno,"In your life, have you EVER used Cannabis ",,,,,,,,y,,,,,
assist_howoften_pastthreemonth_cannabis,alcohol_smoking_and_substance_involvement_screenin,,radio,"In the PAST THREE MONTHS, how often have you used Cannabis?","0, Never | 2, Once or twice | 3, Monthly | 4, Weekly | 6, Daily or almost daily",,,,,,[assist_everused_cannabis]=1,y,,,,,
assist_howoften_pastthreemonth_cannabis_desire,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often have you had a strong desire or urge to use cannabis?","0, Never | 3, Once or Twice | 4, Monthly | 5, Weekly | 6, Daily or almost daily",,,,,,[assist_howoften_pastthreemonth_cannabis]!=0,y,,,,,
assist_cannabis_ledto_problem,alcohol_smoking_and_substance_involvement_screenin,,radio,"During THE PAST THREE MONTHS, how often has your use of Cannabis led to health, social, legal or financial problem?","0, Never | 4, Once or Twice | 5, Monthly | 6, Weekly | 7, Daily or almost daily",,,,,,[assist_howoften_pastthreemonth_cannabis]!=0,y,,,,,
assist_howoften_failed_normaltask_cannabis,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often have you failed to do what was normally expected of you because of your use of Cannabis?","0, Never | 5, Once or Twice | 6, Monthly | 7, Weekly | 8, Daily or almost daily",,,,,,[assist_howoften_pastthreemonth_cannabis]!=0,y,,,,,
assist_people_concerned_cannabisuse,alcohol_smoking_and_substance_involvement_screenin,,radio,"Has a friend or relative or anyone else EVER expressed concern about your use of cannabis?","0, No, never | 6, Yes, in the past three months | 3, Yes, but not in the past three months",,,,,,[assist_everused_cannabis]=1,y,,,,,
assist_cut_down_cannabis,alcohol_smoking_and_substance_involvement_screenin,,radio,"Have you ever tried to cut down on using Cannabis but failed?","0, No, never | 6, Yes, in the past three months | 3, Yes, but not in the past three months",,,,,,[assist_everused_cannabis]=1,y,,,,,
assist_everused_cocaine,alcohol_smoking_and_substance_involvement_screenin,Cocaine,yesno,"In your life, have you EVER used Cocaine (coke, crack, etc..)?",,,,,,,,y,,,,,
assist_howoften_pastthreemonth_cocaine,alcohol_smoking_and_substance_involvement_screenin,,radio,"In the PAST THREE MONTHS, how often have you used Cocaine (coke, crack, etc..)?","0, Never | 2, Once or twice | 3, Monthly | 4, Weekly | 6, Daily or almost daily",,,,,,[assist_everused_cocaine]=1,y,,,,,
assist_howoften_pastthreemonth_cocaine_desire,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often have you had a strong desire or urge to use Cocaine (coke, crack, etc..)?","0, Never | 3, Once or twice | 4, Monthly | 5, Weekly | 6, Daily or almost daily",,,,,,[assist_howoften_pastthreemonth_cocaine]!=0,y,,,,,
assist_cocaine_ledto_problem,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often has your use of Cocaine (coke, crack, etc..) led to health, social, legal or financial problems?","0, Never | 4, Once or twice | 5, Monthly | 6, Weekly | 7, Daily or almost daily",,,,,,[assist_howoften_pastthreemonth_cocaine]!=0,y,,,,,
assist_howoften_failed_normaltask_cocaine,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often have you failed to do what was normally expected of you because of your use of Cocaine? ","0, Never | 5, Once or twice | 6, Monthly | 7, Weekly | 8, Daily or almost daily",,,,,,[assist_howoften_pastthreemonth_cocaine]!=0,y,,,,,
assist_people_concerned_cocianeuse,alcohol_smoking_and_substance_involvement_screenin,,radio,"Has a friend or relative or anyone else EVER expressed concern about your use of Cocaine (coke, crack, etc..)?","0, No, Never | 6, Yes, In the past three month | 3, Yes, but not in the past three month",,,,,,[assist_everused_cocaine]=1,y,,,,,
assist_cutdown_cocaine,alcohol_smoking_and_substance_involvement_screenin,,radio,"Have you EVER tried to cut down on using Cocaine (coke, crack, etc..) but failed?","0, No, never | 6, Yes, in the past three months | 3, Yes, but not in the past three months",,,,,,[assist_everused_cocaine]=1,y,,,,,
assist_everused_amphetamine,alcohol_smoking_and_substance_involvement_screenin,Amphetamine,yesno,"In your life, have you EVER used Amphetamine type stimulants (tik, speed, diet, pill, ecstasy, etc...)?",,,,,,,,y,,,,,
assist_howoften_pastthreemonth_amphetamine,alcohol_smoking_and_substance_involvement_screenin,,radio,"In the PAST THREE MONTHS, how often have you used Amphetamine type stimulants (tik, speed, diet, pill, ecstasy, etc...)?","0, Never | 2, Once or twice | 3, Monthly | 4, Weekly | 6, Daily or almost daily",,,,,,[assist_everused_amphetamine]=1,y,,,,,
assist_howoften_pastthreemonths_amphetamine_desire,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often have you had a strong desire or urge to use Amphetamine type stimulants (tik, speed, diet, pill, ecstasy, etc...)?","0, Never | 3, Once or twice | 4, Monthly | 5, Weekly | 6, Daily or almost daily",,,,,,[assist_howoften_pastthreemonth_amphetamine]!=0,y,,,,,
assist_amphetamine_ledto_problems,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often has your use of Amphetamine type stimulants (tik, speed, diet, pill, ecstasy, etc...) led to health, social, legal or financial problems?","0, Never | 4, Once or twice | 5, Monthly | 6, Weekly | 7, Daily or almost daily",,,,,,[assist_howoften_pastthreemonth_amphetamine]!=0,y,,,,,
assist_howoften_failed_normaltasks_amphetamine,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THEE MONTHS, how often have you failed to do what was normally expected of you because of your use of Amphetamine type stimulants (tik, speed, diet, pill, ecstasy, etc...)?","0, Never | 5, Once or twice | 6, Monthly | 7, Weekly | 8, Daily or almost daily",,,,,,[assist_howoften_pastthreemonth_amphetamine]!=0,y,,,,,
assist_people_concerned_amphetamineuse,alcohol_smoking_and_substance_involvement_screenin,,radio,"Has a friend or relative or anyone else EVER expressed concern about your use of Amphetamine type stimulants (tik, speed, diet, pill, ecstasy, etc...)?","0, No, never | 6, Yes, in the past three months | 3, Yes, but not in the past three months",,,,,,[assist_everused_amphetamine]=1,y,,,,,
assist_cutdown_amphetamine,alcohol_smoking_and_substance_involvement_screenin,,radio,"Have you EVER tried to cut down on using Amphetamine type stimulants (tik, speed, diet, pill, ecstasy, etc...) but failed?","0, No, never | 6, Yes, in the past three months | 3, Yes, but not in the past three months",,,,,,[assist_everused_amphetamine]=1,y,,,,,
assist_everused_inhalents,alcohol_smoking_and_substance_involvement_screenin,Inhalents,yesno,"In your life, have you EVER used Inhalents (nitrous, glue, petrol, paint thinner, etc..)?",,,,,,,,y,,,,,
assist_howoften_pastthreemonth_inhalents,alcohol_smoking_and_substance_involvement_screenin,,radio,"In the PAST THREE MONTHS, how often have you used Inhalents (nitrous, glue, petrol, paint thinner, etc..)?","0, Never | 2, Once or twice | 3, Monthly | 4, Weekly | 6, Daily or almost daily",,,,,,[assist_everused_inhalents]=1,y,,,,,
assist_howoften_pasttheemonth_inhalent_desire,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often have you had a strong desire or urge to use Inhalents (nitrous, glue, petrol, paint thinner, etc..)?","0, Never | 3, Once or twice | 4, Monthly | 5, Weekly | 6, Daily or almost daily",,,,,,[assist_howoften_pastthreemonth_inhalents]!=0,y,,,,,
assist_inhalent_ledto_problem,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often has your use of Inhalents (nitrous, glue, petrol, paint thinner, etc..) led to health, social, legal or financial problems?","0, Never | 4, Once or twice | 5, Monthly | 6, Weekly | 7, Daily or almost daily",,,,,,[assist_howoften_pastthreemonth_inhalents]!=0,y,,,,,
assist_howoften_failed_normaltask_inhalents,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often have you failed to do what was normally expected of you because of your use of Inhalents (nitrous, glue, petrol, paint thinner, etc..)?","0, Never | 5, Once or twice | 6, Monthly | 7, Weekly | 8, Daily or almost daily",,,,,,[assist_howoften_pastthreemonth_inhalents]!=0,y,,,,,
assist_people_concerned_inhalents,alcohol_smoking_and_substance_involvement_screenin,,radio,"Has a friend or relative or anyone else EVER expressed concern about your use of Inhalents (nitrous, glue, petrol, paint thinner, etc..)?","0, No, never | 6, Yes, in the past three months | 3, Yes, but not in past three months",,,,,,[assist_everused_inhalents]=1,y,,,,,
assist_cutdown_inhalents,alcohol_smoking_and_substance_involvement_screenin,,radio,"Have you EVER tried to cut down on using Inhalents (nitrous, glue, petrol, paint thinner, etc..) but failed?","0, No, never | 6, Yes, in the past three months | 3, Yes, but not in the past three months",,,,,,[assist_everused_inhalents]=1,y,,,,,
assist_everused_sedatives,alcohol_smoking_and_substance_involvement_screenin,"Sedatives or Sleeping pills",yesno,"In your life, have you EVER used Sedatives or sleeping pills (valium mandrax, methaqualone, serepax, rohypnol, etc.)?",,,,,,,,y,,,,,
assist_howoften_pastthreemonth_sedatives,alcohol_smoking_and_substance_involvement_screenin,,radio,"In the PAST THREE MONTHS, how often have you used Sedatives or sleeping pills (valium mandrax, methaqualone, serepax, rohypnol, etc.)?","0, Never | 2, Once or twice | 3, Monthly | 4, Weekly | 6, Daily or almost daily",,,,,,[assist_everused_sedatives]=1,y,,,,,
assist_howoften_pastthreemonth_sedatives_desire,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often have you had a strong desire or urge to use Sedatives or sleeping pills (valium mandrax, methaqualone, serepax, rohypnol, etc...)?","0, Never | 3, Once or twice | 4, Monthly | 5, Weekly | 6, Daily or almost daily",,,,,,[assist_howoften_pastthreemonth_sedatives]!=0,y,,,,,
assist_sedatives_ledto_problems,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often has your use of Sedatives or sleeping pills (valium mandrax, methaqualone, serepax, rohypnol, etc...) led to health, social, legal or financial problems?","0, Never | 4, Once or twice | 5, Monthly | 6, Weekly | 7, Daily or almost daily",,,,,,[assist_howoften_pastthreemonth_sedatives]!=0,y,,,,,
assist_howoften_failed_normaltask_sedatives,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often have you failed to do what was normally expected of you because of your use of Sedatives or sleeping pills (valium mandrax, methaqualone, serepax, rohypnol, etc...)?","0, Never | 5, Once or twice | 6, Monthly | 7, Weekly | 8, Daily or almost daily",,,,,,[assist_howoften_pastthreemonth_sedatives]!=0,y,,,,,
assist_people_concerned_sedatives,alcohol_smoking_and_substance_involvement_screenin,,radio,"Has a friend or relative or anyone else EVER expressed concern about your use of Sedatives or sleeping pills (valium mandrax, methaqualone, serepax, rohypnol, etc...)?","0, No, never | 6, Yes, in the past three months | 3, Yes, but not in the past three months",,,,,,[assist_everused_sedatives]=1,y,,,,,
assist_cut_down_sedatives,alcohol_smoking_and_substance_involvement_screenin,,radio,"Have you EVER tried to cut down on using Sedatives or sleeping Pills (valium,  mandrax/methaqualone, serepax, rohypnol, etc) but failed?","0, No, Never | 6, Yes, In the past three month | 3, Yes, but not in the past three month",,,,,,[assist_everused_sedatives]=1,y,,,,,
assist_everused_hallucinogens,alcohol_smoking_and_substance_involvement_screenin,Hallucinogens,yesno,"In your life, have you EVER used Hallucinogens (LSD, acid, mushrooms pcp, special k, etc...)?",,,,,,,,y,,,,,
assist_past_three_months_hallucinogens,alcohol_smoking_and_substance_involvement_screenin,,radio,"In the PAST THREE MONTHS, how often have you used Hallucinogens (LSD, acid, mushrooms, PCP, special K, etc)","0, Never | 2, Once or twice | 3, Monthly | 4, Weekly | 6, Daily or almost daily",,,,,,[assist_everused_hallucinogens]=1,y,,,,,
assist_urge_past_months_hallucinogens,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often have you had a strong desire or urge to use Hallucinogens (LSD, acid, mushrooms, PCP, special K, etc.)","0, Never | 3, Once or twice | 4, Monthly | 5, Weekly | 6, Daily or almost daily",,,,,,[assist_past_three_months_hallucinogens]!=0,y,,,,,
assist_use_hallucinogens_led_to_problems,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often has your use of Hallucinogens (LSD, acid, mushrooms, PCP, special K, etc) led to health, social, legal or financial problems? ","0, Never | 4, Once or twice | 5, Monthly | 6, Weekly | 7, Daily or almost daily",,,,,,[assist_past_three_months_hallucinogens]!=0,y,,,,,
assist_failed_to_do_normal_tasks_hallucinogens,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often have you failed to do what was normally expected of you because of your use of Hallucinogens (LSD, acid, mushrooms, PCP, special K, etc.)? ","0, Never | 5, Once or Twice | 6, Monthly | 7, Weekly | 8, Daily or almost daily",,,,,,[assist_past_three_months_hallucinogens]!=0,y,,,,,
assist_people_concerned_hallucinogens,alcohol_smoking_and_substance_involvement_screenin,,radio,"Has a friend or relative or anyone else ever expressed concern about your use of Hallucinogens (LSD, acid, mushrooms, PCP, special K, etc.)?","0, No, never | 6, Yes, in the past three months | 3, Yes, but not in the past three months",,,,,,[assist_everused_hallucinogens]=1,y,,,,,
assist_cut_down_hallucinogens,alcohol_smoking_and_substance_involvement_screenin,,radio,"Have you EVER tried to cut down on using Hallucinogens (LSD, acid, mushrooms, PCP, special K, etc.) but failed?","0, No, never | 6, Yes, in the past three months | 3, Yes, but not in the past three months",,,,,,[assist_everused_hallucinogens]=1,y,,,,,
assist_everused_opioids,alcohol_smoking_and_substance_involvement_screenin,Opioids,yesno,"In your life, have you EVER used Opioids (heroin, morphine, oxycontin methadone, codeine, etc...)?",,,,,,,,y,,,,,
assist_howoften_pastthree_months_opioids,alcohol_smoking_and_substance_involvement_screenin,,radio,"In the PAST THREE MONTHS, how often have you used Opioids (heroin, morphine, oxycontin, methadone, codeine, etc. )?","0, Never | 2, Once or twice | 3, Monthly | 4, Weekly | 6, Daily or almost daily",,,,,,[assist_everused_opioids]=1,y,,,,,
assist_strong_desire_opioids,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often have you had a strong desire or urge to use Opioids (heroin, morphine, oxycontin, methadone, codeine, etc. )","0, Never | 3, Once or twice | 4, Monthly | 5, Weekly | 6, Daily or almost daily",,,,,,[assist_howoften_pastthree_months_opioids]!=0,y,,,,,
assist_led_to_problems_opioids,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often has your use of Opioids (heroin, morphine, oxycontin, methadone, codeine, etc. ) led to health, social, legal or financial problems? ","0, Never | 4, Once or twice | 5, Monthly | 6, Weekly | 7, Daily or almost daily",,,,,,[assist_howoften_pastthree_months_opioids]!=0,y,,,,,
assist_failed_todo_normal_task_opioids,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often have you failed to do what was normally expected of you because of your use of  Opioids (heroin, morphine, oxycontin, methadone, codeine, etc.)?","0, Never | 5, Once or Twice | 6, Monthly | 7, Weekly | 8, Daily or almost daily",,,,,,[assist_howoften_pastthree_months_opioids]!=0,y,,,,,
assist_people_concerned_opioids,alcohol_smoking_and_substance_involvement_screenin,,radio,"Has a friend or relative or anyone else ever expressed concern about your use of Opioids (heroin, morphine, oxycontin, methadone, codeine, etc) ?","0, No, never | 6, Yes, in the past three months | 3, Yes, but not in the past three months",,,,,,[assist_everused_opioids]=1,y,,,,,
assist_cut_down_opioids,alcohol_smoking_and_substance_involvement_screenin,,radio,"Have you EVER tried to cut down on using Opioids (heroin, morphine, oxycontin, methadone, codeine, etc. ) but failed?","0, No, Never | 6, Yes, In the past three month | 3, Yes, but not in the past three month",,,,,,[assist_everused_opioids]=1,y,,,,,
assist_everused_overcounter,alcohol_smoking_and_substance_involvement_screenin,Over-the-Counter,yesno,"In your life, have you EVER used other over the counter meds (antihistamines, cough syrups)?",,,,,,,,y,,,,,
assist_howoften_pastthree_months_over_the_counter,alcohol_smoking_and_substance_involvement_screenin,,radio,"In the PAST THREE MONTHS, how often have you used the other over-the-counter meds (antihistamines, cough syrups).","0, Never | 2, Once or twice | 3, Monthly | 4, Weekly | 6, Daily or almost daily",,,,,,[assist_everused_overcounter]=1,y,,,,,
assist_strong_desire_over_the_counter,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often have you had a strong desire or urge to use other over-the-counter meds (antihistamines, cough syrups)?","0, Never | 2, Once or twice | 3, Monthly | 4, Weekly | 6, Daily or almost daily",,,,,,[assist_howoften_pastthree_months_over_the_counter]!=0,y,,,,,
assist_led_to_problems_over_the_counter,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often has your use of other over-the-counter meds (antihistamines, cough syrups) led to health, social, legal or financial problems? ","0, Never | 3, Once or twice | 4, Monthly | 5, Weekly | 6, Daily or almost daily",,,,,,[assist_howoften_pastthree_months_over_the_counter]!=0,y,,,,,
assist_failed_to_do_normally_expected_over_the_counter,alcohol_smoking_and_substance_involvement_screenin,,radio,"During the PAST THREE MONTHS, how often have you failed to do what was normally expected of you because of your use of other over-the-counter meds (antihistamines, cough syrups)? ","0, Never | 3, Once or twice | 4, Monthly | 5, Weekly | 6, Daily or almost daily",,,,,,[assist_howoften_pastthree_months_over_the_counter]!=0,y,,,,,
assist_people_concerned_over_the_counter,alcohol_smoking_and_substance_involvement_screenin,,radio,"Has a friend or relative or anyone else ever expressed concern about your use of other over-the-counter meds (antihistamines, cough syrups)?","0, No, never | 6, Yes, in the past three months | 3, Yes, but not in the past three months",,,,,,[assist_everused_overcounter]=1,y,,,,,
assist_cut_down_over_ther_counter,alcohol_smoking_and_substance_involvement_screenin,,radio,"Have you EVER tried to cut down on using other over-the-counter meds (antihistamines, cough syrups) but failed?","0, No, never | 6, Yes, in the past three months | 3, Yes, but not in past three months",,,,,,[assist_everused_overcounter]=1,y,,,,,
assist_everused_othersubstance,alcohol_smoking_and_substance_involvement_screenin,"Other Substances",yesno,"In your life, have you EVER used other substances",,,,,,,,y,,,,,
assist_everused_othersubstances_specify,alcohol_smoking_and_substance_involvement_screenin,,text,"If other specify",,,,,,,[assist_everused_othersubstance]=1,y,,,,,
